OBJECTID,FMR_0BDR,FMR_1BDR,FMR_2BDR,FMR_3BDR,FMR_4BDR,FMR_AREANAME,FMR_CODE,FMR_4PLUSBDR,Shape__Area,Shape__Length
2001,596,611,700,1012,1230,"Adams County, ND",NCNTY38001N38001,1230,5324474189.64844,330486.182801587
2002,577,581,768,1110,1129,"Barnes County, ND",NCNTY38003N38003,1129,8403592067.39453,373948.553952585
2003,596,611,700,915,1107,"Benson County, ND",NCNTY38005N38005,1107,8343753673.25391,536859.252059637
2004,596,611,700,933,1049,"Wells County, ND",NCNTY38103N38103,1049,7342263163.93359,350599.899313107
2005,634,772,965,1300,1304,"Williams County, ND",NCNTY38105N38105,1304,12584442504.875,561192.464623603
2006,533,536,682,854,922,"Adams County, OH",NCNTY39001N39001,922,2506811360.33203,223738.149822016
2007,467,530,691,916,1103,"Ashland County, OH",NCNTY39005N39005,1103,1933416810.92188,217858.919678543
2008,438,564,682,854,959,"Meigs County, OH",NCNTY39105N39105,959,1863649586.22656,241300.011986023
2009,512,516,682,874,922,"Mercer County, OH",NCNTY39107N39107,922,2125269413.30859,192084.161780539
2010,712,835,1040,1377,1678,"Carroll County, NH",NCNTY33003N33003,1678,4948122221,407826.498284343
2011,747,841,1096,1477,1602,"Cheshire County, NH",NCNTY33005N33005,1602,3522805959.75,288439.091131361
2012,609,694,803,1034,1192,"Coos County, NH",NCNTY33007N33007,1192,9376870819.96484,613348.249552477
2013,697,811,1062,1331,1865,"Grafton County, NH",NCNTY33009N33009,1865,8742136129.71094,510751.665223497
2014,808,875,1122,1498,1659,"Merrimack County, NH",NCNTY33013N33013,1659,4678588099.86328,336885.952131927
2015,555,567,700,908,1050,"Chautauqua County, NY",NCNTY36013N36013,1050,5127196435.03125,311745.075704136
2016,537,541,715,1001,1256,"Washington County, NC",NCNTY37187N37187,1256,1487076850.82031,181684.781817696
2017,596,611,700,912,967,"McIntosh County, ND",NCNTY38051N38051,967,5359663396.1875,304751.032107111
2018,776,781,1033,1294,1549,"McKenzie County, ND",NCNTY38053N38053,1549,16374325596.1992,666585.557498323
2019,596,611,700,973,1169,"McLean County, ND",NCNTY38055N38055,1169,13256903001.2656,652130.943059767
2020,598,602,796,1036,1398,"Mercer County, ND",NCNTY38057N38057,1398,6263991419.65234,414253.805200483
2021,585,589,779,976,1168,"Pierce County, ND",NCNTY38069N38069,1168,6317332424.10938,415374.391373579
2022,575,578,700,1012,1230,"Ramsey County, ND",NCNTY38071N38071,1230,7599008412.48828,479723.449754351
2023,572,575,761,1003,1141,"Ransom County, ND",NCNTY38073N38073,1141,4712362442.19141,280192.743944169
2024,538,541,716,1033,1258,"Renville County, ND",NCNTY38075N38075,1258,5307606053.75,396358.291978918
2025,540,543,700,1012,1155,"Richland County, ND",NCNTY38077N38077,1155,7831060094.41016,463440.941243561
2026,596,611,700,1010,1049,"Rolette County, ND",NCNTY38079N38079,1049,5596137704.64844,307070.271208992
2027,563,567,700,1012,1133,"Sargent County, ND",NCNTY38081N38081,1133,4669823410.09375,284263.899870646
2028,614,618,817,1179,1225,"Sheridan County, ND",NCNTY38083N38083,1225,5719890477.78125,314301.869732914
2029,614,618,817,1179,1225,"Slope County, ND",NCNTY38087N38087,1225,6648712543.03125,362123.824684892
2030,747,752,995,1340,1345,"Stark County, ND",NCNTY38089N38089,1345,7407161037.58984,376167.106512135
2031,572,576,700,1012,1049,"Steele County, ND",NCNTY38091N38091,1049,4050853243.03516,261577.836044041
2032,474,530,643,838,979,"Humphreys County, TN",NCNTY47085N47085,979,2209876210.87109,223084.144839401
2033,457,468,619,803,837,"Jackson County, TN",NCNTY47087N47087,837,1278659668.75,177291.713961622
2034,457,541,619,776,919,"Johnson County, TN",NCNTY47091N47091,919,1214341732.82422,194284.539523494
2035,565,623,752,1002,1321,"Hemphill County, TX",NCNTY48211N48211,1321,3602439398.69141,240185.234086168
2036,593,641,817,1081,1290,"Henderson County, TX",NCNTY48213N48213,1290,3441008867.72656,360034.016430862
2037,553,598,741,931,1010,"Chenango County, NY",NCNTY36017N36017,1010,4283192297.25,307091.371879187
2038,720,725,959,1210,1438,"Golden Valley County, ND",NCNTY38033N38033,1438,5571047938.25781,354326.837756877
2039,596,607,700,1012,1049,"Grant County, ND",NCNTY38037N38037,1049,9056047668.16016,610369.640397195
2040,526,529,700,1012,1049,"Griggs County, ND",NCNTY38039N38039,1049,4056697474.11719,262486.018696451
2041,596,611,700,1012,1049,"Hettinger County, ND",NCNTY38041N38041,1049,6179957789.08984,343972.058882755
2042,596,611,700,1000,1049,"Kidder County, ND",NCNTY38043N38043,1049,7969764759.49219,375830.348797931
2043,543,547,723,906,1124,"LaMoure County, ND",NCNTY38045N38045,1124,6278664725.91406,335714.20165515
2044,596,611,700,1010,1032,"Logan County, ND",NCNTY38047N38047,1032,5516927884.13672,308556.212684881
2045,596,611,700,987,1049,"McHenry County, ND",NCNTY38049N38049,1049,11151203864.2188,454258.954865565
2046,689,753,921,1152,1562,"Mountrail County, ND",NCNTY38061N38061,1562,11311127923.3438,497959.058949088
2047,596,611,700,1010,1049,"Nelson County, ND",NCNTY38063N38063,1049,5814066188.69922,317454.105053024
2048,596,611,700,922,1196,"Pembina County, ND",NCNTY38067N38067,1196,6679062611.68359,387148.772312805
2049,520,523,682,918,922,"Darke County, OH",NCNTY39037N39037,922,2660497098.875,211771.856782465
2050,502,522,691,923,1141,"Defiance County, OH",NCNTY39039N39039,1141,1903641970.89063,205612.311692167
2051,486,566,748,962,1064,"Erie County, OH",NCNTY39043N39043,1064,1177535938.20703,282698.296883538
2052,470,571,732,917,1114,"Fayette County, OH",NCNTY39047N39047,1114,1775792517.41016,176826.832258544
2053,498,596,682,883,982,"Gallia County, OH",NCNTY39053N39053,982,2013739362.08594,239074.836705703
2054,498,566,682,944,1061,"Highland County, OH",NCNTY39071N39071,1061,2407929243.45703,213059.14011407
2055,498,539,682,856,922,"Holmes County, OH",NCNTY39075N39075,922,1904515487.69922,193212.939570274
2056,493,525,682,902,1027,"Huron County, OH",NCNTY39077N39077,1027,2262109915.83984,197282.093562752
2057,498,537,682,934,1036,"Jackson County, OH",NCNTY39079N39079,1036,1811240437.3125,181761.433129307
2058,536,545,702,922,1012,"Knox County, OH",NCNTY39083N39083,1012,2367752491.1875,218499.371964067
2059,542,561,742,944,1003,"Logan County, OH",NCNTY39091N39091,1003,2086053535.62891,190383.208004985
2060,486,572,756,947,1022,"Marion County, OH",NCNTY39101N39101,1022,1816858221.94141,201243.957038336
2061,528,588,700,901,1042,"Nemaha County, NE",NCNTY31127N31127,1042,1830576171.48438,208191.861319714
2062,531,535,679,927,1113,"Stanly County, NC",NCNTY37167N37167,1113,1578207081.09375,204224.084708492
2063,513,517,679,902,1103,"Surry County, NC",NCNTY37171N37171,1103,2149447076.72656,218908.139639532
2064,604,608,717,1037,1259,"Otero County, NM",NCNTY35035N35035,1259,24262209213.0547,717318.394506193
2065,502,526,696,957,972,"Ashtabula County, OH",NCNTY39007N39007,972,3299189900.66406,242405.342577655
2066,643,669,766,960,1035,"Athens County, OH",NCNTY39009N39009,1035,2204011613.57813,229368.593592639
2067,504,521,682,903,933,"Auglaize County, OH",NCNTY39011N39011,933,1805275595.97266,224268.144184245
2068,540,543,682,982,1190,"Champaign County, OH",NCNTY39021N39021,1190,1906928635.18359,183987.614263828
2069,449,550,699,937,1134,"Clinton County, OH",NCNTY39027N39027,1134,1791533899.44531,174131.190851436
2070,469,555,682,904,1028,"Columbiana County, OH",NCNTY39029N39029,1028,2416842662.07422,225314.730882302
2071,498,527,682,859,985,"Coshocton County, OH",NCNTY39031N39031,985,2529785830.36719,213099.018649893
2072,557,560,682,854,1057,"Guernsey County, OH",NCNTY39059N39059,1057,2338172479.75391,220244.764969385
2073,561,564,743,1014,1177,"Hancock County, OH",NCNTY39063N39063,1177,2429135503.02734,205008.607911409
2074,498,516,682,918,922,"Hardin County, OH",NCNTY39065N39065,922,2120529778.29297,191899.855034642
2075,498,532,682,854,1001,"Harrison County, OH",NCNTY39067N39067,1001,1830651897.27344,181280.859098524
2076,498,596,682,964,968,"Henry County, OH",NCNTY39069N39069,968,1929784851.63281,197254.095153043
2077,498,566,682,854,954,"Paulding County, OH",NCNTY39125N39125,954,1913052054.10938,180457.705932297
2078,498,556,682,978,1057,"Pike County, OH",NCNTY39131N39131,1057,1910801577.85156,192089.431780203
2079,464,522,691,931,934,"Preble County, OH",NCNTY39135N39135,934,1870826196.38281,175070.816944395
2080,498,550,682,854,922,"Putnam County, OH",NCNTY39137N39137,922,2205644343.04297,205739.475311248
2081,560,564,732,917,989,"Ross County, OH",NCNTY39141N39141,989,3004609983.83984,234942.22502699
2082,457,611,700,950,953,"Nuckolls County, NE",NCNTY31129N31129,953,2557201419.28906,202274.770488468
2083,495,579,758,950,1277,"Otoe County, NE",NCNTY31131N31131,1277,2787756435.03125,248567.25666302
2084,457,529,700,894,983,"Pawnee County, NE",NCNTY31133N31133,983,1920273996.35938,177029.200349897
2085,457,547,700,929,1207,"Perkins County, NE",NCNTY31135N31135,1207,4007331643.42578,268947.042293957
2086,457,518,619,825,837,"Lake County, TN",NCNTY47095N47095,837,545987574.796875,137484.037217719
2087,458,518,621,828,968,"Lauderdale County, TN",NCNTY47097N47097,968,2000818568.41406,348460.327652999
2088,457,508,619,805,861,"Lawrence County, TN",NCNTY47099N47099,861,2403548894.51563,234420.150152433
2089,614,618,817,1179,1225,"Billings County, ND",NCNTY38007N38007,1225,6426151290.20313,369363.627131423
2090,498,594,682,931,1071,"Monroe County, OH",NCNTY39111N39111,1071,2005541710.85938,197870.400145083
2091,498,596,682,862,959,"Morgan County, OH",NCNTY39115N39115,959,1843597267.125,208552.673885172
2092,446,557,690,865,1010,"Muskingum County, OH",NCNTY39119N39119,1010,2969147726.875,235721.772351357
2093,504,538,690,865,933,"Noble County, OH",NCNTY39121N39121,933,1775562929.09766,233179.596462864
2094,523,579,716,897,1138,"Ottawa County, OH",NCNTY39123N39123,1138,1220908939.46484,356774.225530097
2095,535,538,700,955,986,"Henry County-Martinsville city, VA HUD Nonmetro FMR Area",NCNTY51089N51089,986,1595429239.87891,190194.339273318
2096,637,742,922,1155,1426,"King and Queen County, VA",NCNTY51097N51097,1426,1330398789.14063,300752.401148076
2097,719,922,1071,1499,1881,"King George County, VA",NCNTY51099N51099,1881,776565909.058594,194684.311744335
2098,670,803,998,1250,1349,"Lancaster County, VA",NCNTY51103N51103,1349,557872112.378906,502971.723195341
2099,463,488,628,826,972,"Lewis County, TN",NCNTY47101N47101,972,1107059466.78125,186062.60652977
2100,622,626,828,1037,1119,"Jim Wells County, TX",NCNTY48249N48249,1119,2882029373.29883,292784.488076577
2101,502,581,769,963,1185,"Karnes County, TX",NCNTY48255N48255,1185,2556038664.05859,233365.300466942
2102,564,597,751,997,1157,"Kenedy County, TX",NCNTY48261N48261,1157,4685124037.05469,1645339.55207266
2103,526,557,700,1012,1079,"Kent County, TX",NCNTY48263N48263,1079,3347532687.82813,230615.36903275
2104,717,735,842,1178,1199,"Kerr County, TX",NCNTY48265N48265,1199,3841808852.64844,304588.500182801
2105,581,633,773,968,1191,"Kimble County, TX",NCNTY48267N48267,1191,4377713256.83984,290288.903946696
2106,757,801,1007,1262,1552,"King County, TX",NCNTY48269N48269,1552,3419853555.16797,233909.583828856
2107,498,544,682,908,1047,"Sandusky County, OH",NCNTY39143N39143,1047,1895095710.94531,219162.983181598
2108,587,706,914,1232,1288,"Watauga County, NC",NCNTY37189N37189,1288,1250384623.10938,168127.834503694
2109,510,513,679,944,1101,"Wilkes County, NC",NCNTY37193N37193,1101,3017098361.54688,275209.009681905
2110,538,541,716,952,1181,"Bottineau County, ND",NCNTY38009N38009,1181,10119724820.8242,483523.186346663
2111,565,569,752,942,1031,"Bowman County, ND",NCNTY38011N38011,1031,6288506890.20313,341607.099974522
2112,719,723,957,1199,1435,"Burke County, ND",NCNTY38013N38013,1435,6730890631.30469,357364.777944879
2113,596,611,700,1010,1049,"Cavalier County, ND",NCNTY38019N38019,1049,8996015505.33594,392948.075984317
2114,513,529,700,967,1096,"Haskell County, OK",NCNTY40061N40061,1096,2432151224.65625,264991.676136196
2115,484,556,735,927,1004,"Ottawa County, OK",NCNTY40115N40115,1004,1962967760.72656,185325.551186029
2116,485,623,755,1015,1238,"Tioga County, PA",NCNTY42117N42117,1238,5298397365.65625,290881.189425215
2117,585,610,780,1031,1054,"Union County, PA",NCNTY42119N42119,1054,1444702932.61328,197877.097568833
2118,556,560,692,867,1070,"Venango County, PA",NCNTY42121N42121,1070,3145907446.77344,254077.918323355
2119,555,581,692,916,935,"Warren County, PA",NCNTY42123N42123,935,4192694466.35547,266327.659078212
2120,612,664,816,1099,1103,"Wayne County, PA",NCNTY42127N42127,1103,3484595391.74219,350127.13337948
2121,527,659,755,953,1021,"McKinley County, NM",NCNTY35031N35031,1021,21407731583.1914,683899.798442364
2122,628,632,805,1104,1319,"Mora County, NM",NCNTY35033N35033,1319,7669460385.72266,476653.708020795
2123,521,587,679,941,1025,"Vance County, NC",NCNTY37181N37181,1025,1079759025.19531,147504.899418669
2124,436,551,679,971,1193,"Warren County, NC",NCNTY37185N37185,1193,1777546843.34766,188300.218783825
2125,499,539,700,1012,1230,"Custer County, OK",NCNTY40039N40039,1230,3937745673.09766,263029.912213032
2126,499,529,700,931,1067,"Delaware County, OK",NCNTY40041N40041,1067,3174881869.21875,234671.481882283
2127,505,535,708,887,1008,"Dewey County, OK",NCNTY40043N40043,1008,3996675914.04688,263852.360302268
2128,568,603,797,999,1162,"Greer County, OK",NCNTY40055N40055,1162,2486116126.35156,268756.155649956
2129,499,545,700,877,1230,"Harmon County, OK",NCNTY40057N40057,1230,2071247111.39844,214827.276536001
2130,452,531,700,951,955,"Muskogee County, OK",NCNTY40101N40101,955,3298422134.17969,327319.760547532
2131,638,642,794,1148,1260,"Payne County, OK",NCNTY40119N40119,1260,2769208313.11328,251849.216345023
2132,484,569,753,943,1189,"Pittsburg County, OK",NCNTY40121N40121,1189,5320854464.88672,359301.567991876
2133,452,548,704,951,1036,"Pontotoc County, OK",NCNTY40123N40123,1036,2787339522.55078,275500.684918996
2134,467,563,700,1012,1022,"Bon Homme County, SD",NCNTY46009N46009,1022,2816941763.01953,260163.026802386
2135,482,611,700,1012,1230,"Jefferson County, OR",NCNTY41031N41031,1230,9161122279.75781,487305.423707428
2136,450,529,700,905,1052,"Seminole County, OK",NCNTY40133N40133,1052,2487997311.21875,288552.131682292
2137,458,548,701,925,985,"Stephens County, OK",NCNTY40137N40137,985,3406312643.34375,234959.494486057
2138,624,640,733,918,1069,"Texas County, OK",NCNTY40139N40139,1069,8280107730.18359,379649.920175843
2139,499,545,700,972,1021,"Tillman County, OK",NCNTY40141N40141,1021,3350658488.20703,307701.056847246
2140,452,545,695,899,968,"Northumberland County, PA",NCNTY42097N42097,968,2163776451.35547,296833.506935593
2141,450,574,700,965,1178,"Lake County, OR",NCNTY41037N41037,1178,40228685805.8164,946649.302184926
2142,568,697,884,1278,1477,"Lincoln County, OR",NCNTY41041N41041,1477,5045795392.54688,448916.237073996
2143,478,544,709,934,1133,"Malheur County, OR",NCNTY41045N41045,1133,48419696420.7422,1056447.85758425
2144,450,529,700,877,1104,"Marshall County, OK",NCNTY40095N40095,1104,1613844775.19531,215059.188490557
2145,500,531,702,918,1034,"Mayes County, OK",NCNTY40097N40097,1034,2730836558.84766,216897.090556317
2146,530,610,700,978,1230,"Murray County, OK",NCNTY40099N40099,1230,1624380224.46875,219615.993191322
2147,505,619,709,955,1134,"Washington County, OK",NCNTY40147N40147,1134,1713287830.49609,207593.190038964
2148,499,611,700,1012,1230,"Noble County, OK",NCNTY40103N40103,1230,2973416796.48047,267700.854188018
2149,556,590,780,977,1327,"Nowata County, OK",NCNTY40105N40105,1327,2350448232.58594,201288.541453488
2150,499,561,700,907,1030,"Okfuskee County, OK",NCNTY40107N40107,1030,2460626225.23047,278284.005570186
2151,599,700,866,1252,1354,"Clatsop County, OR",NCNTY41007N41007,1354,5027518097.11719,319371.915881558
2152,491,579,765,1070,1311,"Crook County, OR",NCNTY41013N41013,1311,15027733071.2109,590584.775655566
2153,711,882,1106,1599,1692,"Hood River County, OR",NCNTY41027N41027,1692,2812220487.13281,241691.522012865
2154,481,567,748,1055,1145,"Klamath County, OR",NCNTY41035N41035,1145,29428742014.8047,840937.048189734
2155,467,611,700,916,1006,"Potter County, SD",NCNTY46107N46107,1006,4665582297.66016,298430.73622146
2156,467,534,700,900,966,"Roberts County, SD",NCNTY46109N46109,966,6014572755.63281,397921.398455852
2157,467,611,700,983,1208,"Sanborn County, SD",NCNTY46111N46111,1208,2858390507.875,214207.495785139
2158,497,598,705,1019,1140,"Brown County, TX",NCNTY48049N48049,1140,3440017165.35938,255500.380801697
2159,455,535,708,895,957,"Burnett County, WI",NCNTY55013N55013,957,4700235340.28516,365777.949904279
2160,453,553,700,934,983,"Clark County, WI",NCNTY55019N55019,983,6255348937.23828,326218.608431158
2161,457,529,700,877,1073,"Crawford County, WI",NCNTY55023N55023,1073,2925557793.58984,249636.776876131
2162,595,599,788,1117,1121,"Dodge County, WI",NCNTY55027N55027,1121,4454688955.52344,269199.21541388
2163,502,590,781,1045,1077,"Polk County, WI",NCNTY55095N55095,1077,5034661862.64063,339065.191501778
2164,570,573,716,939,1186,"Portage County, WI",NCNTY55097N55097,1186,4186220675.30078,274454.839838012
2165,478,529,700,926,946,"Price County, WI",NCNTY55099N55099,946,6780650898.66016,333284.433847291
2166,450,533,700,940,946,"Richland County, WI",NCNTY55103N55103,946,2889887316.37109,230373.221638098
2167,478,529,700,908,968,"Rusk County, WI",NCNTY55107N55107,968,4902808754.17188,302032.432295304
2168,457,529,700,980,983,"Rock County, NE",NCNTY31149N31149,983,4811360938.50781,310126.939714736
2169,565,654,865,1084,1231,"Saline County, NE",NCNTY31151N31151,1231,2585939274.60938,203369.235502544
2170,509,592,780,988,1243,"Scotts Bluff County, NE",NCNTY31157N31157,1243,3482019737.41016,244387.669306484
2171,541,612,810,1060,1164,"McPherson County, SD",NCNTY46089N46089,1164,6127832861.59766,332021.753210308
2172,467,529,700,970,1006,"Marshall County, SD",NCNTY46091N46091,1006,4714871832.10547,286663.224482218
2173,481,545,721,943,1036,"Mellette County, SD",NCNTY46095N46095,1036,6472348606.10938,486646.80128978
2174,467,529,700,959,1006,"Miner County, SD",NCNTY46097N46097,1006,2865185157.79297,214156.939357397
2175,467,584,700,889,1080,"Moody County, SD",NCNTY46101N46101,1080,2609164967.09375,204676.20254441
2176,779,783,1036,1298,1820,"Andrews County, TX",NCNTY48003N48003,1820,5458016291.67188,304871.05987934
2177,687,705,807,1067,1112,"Angelina County, TX",NCNTY48005N48005,1112,3074243417.19922,402302.635310796
2178,526,611,700,1012,1079,"Bailey County, TX",NCNTY48017N48017,1079,3131296272.96484,226965.769831215
2179,526,535,700,1012,1079,"Baylor County, TX",NCNTY48023N48023,1079,3373889326.66406,232386.2930709
2180,675,679,854,1235,1382,"Bee County, TX",NCNTY48025N48025,1382,2958607785.03906,263985.789027765
2181,634,637,843,1114,1374,"Blanco County, TX",NCNTY48031N48031,1374,2485122619.96094,204284.343342638
2182,457,541,619,776,919,"Decatur County, TN",NCNTY47039N47039,919,1354184778.99609,209356.635832443
2183,457,468,619,895,919,"DeKalb County, TN",NCNTY47041N47041,919,1303912146.50391,214597.587957841
2184,545,548,725,976,1117,"DeWitt County, TX",NCNTY48123N48123,1117,3098419519.51953,243507.026796908
2185,467,529,700,916,1006,"Harding County, SD",NCNTY46063N46063,1006,14158198647.0039,478081.357491702
2186,482,567,750,1084,1317,"Hughes County, SD",NCNTY46065N46065,1317,4061827568.9375,342402.165409417
2187,471,534,706,885,954,"Hutchinson County, SD",NCNTY46067N46067,954,3988695274.01953,259146.318996021
2188,467,529,700,916,1006,"Hyde County, SD",NCNTY46069N46069,1006,4417257691.65234,300488.051827161
2189,459,516,622,779,923,"Stewart County, TN",NCNTY47161N47161,923,1979974047.94922,186199.025572609
2190,467,529,700,1012,1146,"Jackson County, SD",NCNTY46071N46071,1146,9273949178.59766,456601.988193626
2191,467,611,700,1003,1006,"Jerauld County, SD",NCNTY46073N46073,1006,2672504356.87891,213064.472951366
2192,457,468,619,776,919,"Wayne County, TN",NCNTY47181N47181,919,2862715243.03516,249002.999658082
2193,427,487,619,814,971,"Weakley County, TN",NCNTY47183N47183,971,2324417197.22656,242184.561076599
2194,572,661,761,1070,1337,"Anderson County, TX",NCNTY48001N48001,1337,3878262625.56641,438079.797812243
2195,564,597,751,997,1157,"Borden County, TX",NCNTY48033N48033,1157,3326359467.87109,230852.283371682
2196,484,487,644,866,898,"Cumberland County, TN",NCNTY47035N47035,898,2712183147.66016,252110.455869548
2197,501,580,767,961,1054,"Kimball County, NE",NCNTY31105N31105,1054,4360858360.30469,266686.594923847
2198,457,580,700,1012,1050,"Knox County, NE",NCNTY31107N31107,1050,5457598198.32422,332413.691640497
2199,526,575,760,1024,1027,"Lincoln County, NE",NCNTY31111N31111,1027,11737496516.168,438276.04755711
2200,457,529,700,980,983,"Logan County, NE",NCNTY31113N31113,983,2644507347.28125,205859.392915575
2201,445,491,649,895,1019,"Haywood County, TN",NCNTY47075N47075,1019,2096001102.10547,213137.578697816
2202,526,529,700,943,946,"Coleman County, TX",NCNTY48083N48083,946,4605709269.34375,328472.238164781
2203,526,557,700,877,1079,"Collingsworth County, TX",NCNTY48087N48087,1079,3553763597.30859,238545.318103304
2204,526,546,700,885,1079,"Starr County, TX",NCNTY48427N48427,1079,3994657171.88477,302393.85814972
2205,526,540,700,1012,1079,"Stephens County, TX",NCNTY48429N48429,1079,3382288092.46484,232459.914482833
2206,526,529,700,1012,1230,"Colorado County, TX",NCNTY48089N48089,1230,3348545266.54688,282579.090074802
2207,526,610,700,1012,1079,"Comanche County, TX",NCNTY48093N48093,1079,3418889682.65625,250828.280789924
2208,710,737,933,1231,1478,"Concho County, TX",NCNTY48095N48095,1478,3537989796.69922,260874.714485429
2209,596,611,700,890,1079,"Uvalde County, TX",NCNTY48463N48463,1079,5333052172.94141,292705.970509654
2210,553,557,700,943,981,"Willacy County, TX",NCNTY48489N48489,981,1961174247.33984,642089.181536346
2211,552,556,672,842,963,"Pleasants County, WV",NCNTY54073N54073,963,583917202,140833.348210038
2212,469,472,625,873,881,"Pocahontas County, WV",NCNTY54075N54075,881,3970626007.05078,343933.119076326
2213,506,556,637,798,882,"Randolph County, WV",NCNTY54083N54083,882,4437833416.14453,416341.596269376
2214,614,651,817,1100,1104,"Cooke County, TX",NCNTY48097N48097,1104,3366332741.61719,359547.623240782
2215,457,488,619,893,1087,"Hancock County, TN",NCNTY47067N47067,1087,897946088.335938,192866.314928073
2216,457,468,619,845,926,"Hardeman County, TN",NCNTY47069N47069,926,2606724385.40625,205033.54897863
2217,486,562,744,952,1045,"Wheeler County, NE",NCNTY31183N31183,1045,2694156248.19922,207579.73429488
2218,480,601,735,978,1154,"York County, NE",NCNTY31185N31185,1154,2610854241.21875,204430.258602155
2219,478,541,716,897,1247,"Grant County, SD",NCNTY46051N46051,1247,3582654924.54688,279637.554138949
2220,467,561,700,968,997,"Gregory County, SD",NCNTY46053N46053,997,5135704821.87891,352919.685258046
2221,540,612,809,1059,1163,"Haakon County, SD",NCNTY46055N46055,1163,9237888374.00781,474859.281676837
2222,471,534,706,889,1015,"Hamlin County, SD",NCNTY46057N46057,1015,2755888775,216632.432889282
2223,705,723,828,1188,1298,"Burnet County, TX",NCNTY48053N48053,1298,3595405902.40234,296721.0754005
2224,624,701,831,1041,1460,"Calhoun County, TX",NCNTY48057N48057,1460,1834311270.86523,1135331.03017982
2225,529,615,704,1016,1085,"Camp County, TX",NCNTY48063N48063,1085,750008317.230469,166299.257791221
2226,450,529,700,1012,1230,"Cass County, TX",NCNTY48067N48067,1230,3552302570.26563,328124.184676885
2227,477,561,742,1052,1199,"Fannin County, TX",NCNTY48147N48147,1199,3364241960.17969,280334.430220454
2228,563,584,749,1083,1154,"Fayette County, TX",NCNTY48149N48149,1154,3317463722.90625,241099.437041656
2229,526,557,700,937,1079,"Fisher County, TX",NCNTY48151N48151,1079,3310609657.6875,230093.020519251
2230,526,611,700,877,1015,"Floyd County, TX",NCNTY48153N48153,1015,3756297024.55469,245557.036675218
2231,476,528,699,889,1228,"Millard County, UT",NCNTY49027N49027,1228,29422447208.5742,742439.016315842
2232,528,626,774,1042,1046,"Door County, WI",NCNTY55029N55029,1046,2514014536.65625,637414.247446288
2233,558,562,716,1035,1085,"Dunn County, WI",NCNTY55033N55033,1085,4466942584.19922,277670.078129589
2234,478,529,700,877,990,"Florence County, WI",NCNTY55037N55037,990,2654872454.36719,264096.347979637
2235,526,557,700,1012,1079,"Winkler County, TX",NCNTY48495N48495,1079,3029117474.17188,231634.728952473
2236,572,599,761,1043,1299,"Wood County, TX",NCNTY48499N48499,1299,2556542982.94141,270489.930873378
2237,526,547,700,882,1230,"Franklin County, TX",NCNTY48159N48159,1230,1092691931.46094,176706.472047554
2238,526,557,700,1012,1230,"Garza County, TX",NCNTY48169N48169,1230,3322353201.88281,229938.579969968
2239,732,736,974,1363,1471,"Gillespie County, TX",NCNTY48171N48171,1471,3702381842.05469,252387.401323191
2240,564,597,751,997,1157,"Glasscock County, TX",NCNTY48173N48173,1157,3245419104.74609,227895.806488347
2241,533,537,710,978,1094,"Gonzales County, TX",NCNTY48177N48177,1094,3667508769.75391,253189.132508165
2242,495,528,671,841,996,"Hardin County, TN",NCNTY47071N47071,996,2317899400.90625,217214.485818265
2243,580,584,772,969,1190,"Gray County, TX",NCNTY48179N48179,1190,3630879489.39063,241004.689020454
2244,526,529,700,992,1079,"Grimes County, TX",NCNTY48185N48185,1079,2808106555.52344,294051.122988094
2245,450,602,700,1012,1079,"Hale County, TX",NCNTY48189N48189,1079,3802016504.67969,247063.477078207
2246,526,568,700,1012,1079,"Hall County, TX",NCNTY48191N48191,1079,3458677099.88672,235260.325550823
2247,534,572,711,944,1096,"Hamilton County, TX",NCNTY48193N48193,1096,3002083705.30078,236502.881487944
2248,457,599,700,995,1139,"Sheridan County, NE",NCNTY31161N31161,1139,11777302263.0313,473994.413112253
2249,457,535,700,1005,1008,"Sherman County, NE",NCNTY31163N31163,1008,2619209873.78906,205115.754117822
2250,457,529,700,877,1230,"Sioux County, NE",NCNTY31165N31165,1230,9852629059.99219,446278.426646252
2251,487,565,747,936,1143,"Stanton County, NE",NCNTY31167N31167,1143,2017720297.63281,181636.190434437
2252,547,591,728,912,1122,"Castro County, TX",NCNTY48069N48069,1122,3439974474.92969,234944.800133197
2253,537,541,715,934,1006,"Cherokee County, TX",NCNTY48073N48073,1006,3823180851.73828,436744.755860296
2254,561,593,746,1079,1149,"Childress County, TX",NCNTY48075N48075,1149,2730180004.38672,210762.896091824
2255,526,536,700,881,1079,"Cochran County, TX",NCNTY48079N48079,1079,2902032157.74609,216222.602800536
2256,526,529,700,877,1079,"Coke County, TX",NCNTY48081N48081,1079,3343844689.87109,233193.66937906
2257,565,657,752,1030,1159,"Real County, TX",NCNTY48385N48385,1159,2417573764.05859,222725.411997259
2258,526,611,700,930,1079,"Dickens County, TX",NCNTY48125N48125,1079,3389703674.90625,233061.415329166
2259,564,597,751,997,1157,"Dimmit County, TX",NCNTY48127N48127,1157,4485222352.65625,272459.675755927
2260,526,545,700,1012,1079,"Donley County, TX",NCNTY48129N48129,1079,3606682161.46484,240303.144680602
2261,526,557,700,953,1028,"Duval County, TX",NCNTY48131N48131,1028,5953112791.07617,331755.115168166
2262,462,529,700,877,946,"Eastland County, TX",NCNTY48133N48133,946,3390042124.16797,236316.099394561
