OBJECTID,FMR_0BDR,FMR_1BDR,FMR_2BDR,FMR_3BDR,FMR_4BDR,FMR_AREANAME,FMR_CODE,FMR_4PLUSBDR,Shape__Area,Shape__Length
1155,473,527,697,967,1033,"Douglas County, IL",NCNTY17041N17041,1033,1831421322,185130.748538215
1156,562,576,660,943,1035,"Montgomery County, GA",NCNTY13209N13209,1035,887124069.5625,165303.18135576
1157,562,576,660,946,1035,"Pierce County, GA",NCNTY13229N13229,1035,1222936832.53711,206734.904307206
1158,556,560,741,986,1063,"Polk County, GA",NCNTY13233N13233,1063,1179422723.39453,161227.972060059
1159,496,583,731,970,1218,"Fulton County, IL",NCNTY17057N17057,1218,3954466601.78516,263683.142240281
1160,473,609,697,997,1001,"Gallatin County, IL",NCNTY17059N17059,1001,1362378620.30078,176123.35867286
1161,659,676,774,970,1091,"Putnam County, GA",NCNTY13237N13237,1091,1341524059.07422,175867.102680213
1162,523,526,660,954,1035,"Quitman County, GA",NCNTY13239N13239,1035,578327176.996094,116421.447601528
1163,541,544,720,955,1085,"Rabun County, GA",NCNTY13241N13241,1085,1453806494.125,223622.508212005
1164,753,858,1128,1459,1635,"Brown County, IL",NCNTY17009N17009,1635,1355935675.10156,174232.958119567
1165,496,499,660,898,1122,"Seminole County, GA",NCNTY13253N13253,1122,906064434.707031,154666.117098358
1166,473,527,697,932,1062,"Clark County, IL",NCNTY17023N17023,1062,2188528086.85156,213949.772169393
1167,473,609,697,873,1081,"Clay County, IL",NCNTY17025N17025,1081,2002682436.35547,209464.152485677
1168,473,527,697,916,1021,"Edgar County, IL",NCNTY17045N17045,1021,2731899362,222735.828962995
1169,473,609,697,991,1133,"Edwards County, IL",NCNTY17047N17047,1133,941174996.636719,167582.0235352
1170,534,538,697,1008,1129,"Effingham County, IL",NCNTY17049N17049,1129,2064820246.62109,186332.482852863
1171,488,527,697,873,942,"Fayette County, IL",NCNTY17051N17051,942,3114883093.36719,262322.98517838
1172,506,510,674,908,911,"Decatur County, GA",NCNTY13087N13087,911,2198061153.08984,208112.442625428
1173,499,503,665,833,911,"Dodge County, GA",NCNTY13091N13091,911,1824136657.6875,245274.30627658
1174,579,582,760,984,1264,"Jackson County, GA",NCNTY13157N13157,1264,1300210549.69141,178542.091224393
1175,501,548,700,998,1162,"Cassia County, ID",NCNTY16031N16031,1162,12215895681.9219,487764.605688744
1176,501,531,700,968,1150,"Clark County, ID",NCNTY16033N16033,1150,8918170457.98828,541738.579519112
1177,529,559,740,927,1000,"Clearwater County, ID",NCNTY16035N16035,1000,13681285031.0156,627374.010667587
1178,517,547,723,1045,1188,"Custer County, ID",NCNTY16037N16037,1188,24917165304.4648,1027874.20886622
1179,545,576,762,1054,1319,"Elmore County, ID",NCNTY16039N16039,1319,15196754756.4258,745383.158604972
1180,524,554,733,918,1074,"Fremont County, ID",NCNTY16043N16043,1074,9565396087.92969,549762.551989077
1181,501,552,700,943,1190,"Idaho County, ID",NCNTY16049N16049,1190,45379426895.3125,1246431.20534448
1182,454,543,706,885,981,"Henderson County, IL",NCNTY17071N17071,981,1789056701.34375,201559.263956528
1183,540,563,697,917,1149,"Iroquois County, IL",NCNTY17075N17075,1149,5054422553.73047,284858.682023717
1184,473,598,697,999,1001,"Jasper County, IL",NCNTY17079N17079,1001,2139833266.70703,184582.280576429
1185,466,542,704,882,969,"Jefferson County, IL",NCNTY17081N17081,969,2458870757.3125,198378.129972842
1186,491,538,711,971,1113,"Jasper County, IA",NCNTY19099N19099,1113,3406343641.01172,237494.405097602
1187,479,564,746,935,1310,"Jefferson County, IA",NCNTY19101N19101,1310,1990098106.83203,180498.757644015
1188,481,514,664,913,988,"Keokuk County, IA",NCNTY19107N19107,988,2666474496.34766,206648.101967145
1189,481,502,664,894,898,"Kossuth County, IA",NCNTY19109N19109,898,4751834331.22656,285987.052596801
1190,424,576,660,917,1033,"Franklin County, GA",NCNTY13119N13119,1033,1015557818.79688,152832.273002492
1191,472,518,651,823,898,"Jefferson County, MS",NCNTY28063N28063,898,1893656240.14063,235776.443464166
1192,473,570,652,896,899,"Jefferson Davis County, MS",NCNTY28065N28065,899,1464410389.66406,183673.940602103
1193,465,567,724,907,979,"Jones County, MS",NCNTY28067N28067,979,2506816873.15234,200407.493906559
1194,472,492,651,816,898,"Kemper County, MS",NCNTY28069N28069,898,2816694400.50781,214593.194300524
1195,526,674,797,1152,1400,"Pulaski County, MO",NCNTY29169N29169,1400,2292965285.20703,195678.877696702
1196,569,583,668,910,1016,"Grady County, GA",NCNTY13131N13131,1016,1623447946.60742,169508.867730187
1197,576,590,676,910,988,"Greene County, GA",NCNTY13133N13133,988,1519922814.1875,197027.096157936
1198,532,535,688,927,930,"Habersham County, GA",NCNTY13137N13137,930,1069915430.83984,185632.155715748
1199,496,499,660,954,978,"Hancock County, GA",NCNTY13141N13141,978,1775053675.73828,213984.847228338
1200,673,752,995,1262,1748,"Blaine County, ID",NCNTY16013N16013,1748,13047055668.0078,922617.636964412
1201,549,595,768,1028,1277,"Bonner County, ID",NCNTY16017N16017,1277,11229518933.75,569599.399995068
1202,525,528,662,872,1043,"Talbot County, GA",NCNTY13263N13263,1043,1447827583.99609,200683.048059623
